clip_name,clip_path,label
v_Swing_g05_c02,/train/Swing/v_Swing_g05_c02.avi,Swing
v_Swing_g21_c03,/train/Swing/v_Swing_g21_c03.avi,Swing
v_Swing_g07_c01,/train/Swing/v_Swing_g07_c01.avi,Swing
v_Swing_g24_c04,/train/Swing/v_Swing_g24_c04.avi,Swing
v_Swing_g20_c03,/train/Swing/v_Swing_g20_c03.avi,Swing
v_Swing_g12_c04,/train/Swing/v_Swing_g12_c04.avi,Swing
v_Swing_g04_c01,/train/Swing/v_Swing_g04_c01.avi,Swing
v_Swing_g21_c01,/train/Swing/v_Swing_g21_c01.avi,Swing
v_Swing_g25_c01,/train/Swing/v_Swing_g25_c01.avi,Swing
v_Swing_g02_c02,/train/Swing/v_Swing_g02_c02.avi,Swing
v_Swing_g14_c04,/train/Swing/v_Swing_g14_c04.avi,Swing
v_Swing_g25_c03,/train/Swing/v_Swing_g25_c03.avi,Swing
v_Swing_g06_c01,/train/Swing/v_Swing_g06_c01.avi,Swing
v_Swing_g08_c02,/train/Swing/v_Swing_g08_c02.avi,Swing
v_Swing_g11_c06,/train/Swing/v_Swing_g11_c06.avi,Swing
v_Swing_g20_c04,/train/Swing/v_Swing_g20_c04.avi,Swing
v_Swing_g09_c02,/train/Swing/v_Swing_g09_c02.avi,Swing
v_Swing_g10_c04,/train/Swing/v_Swing_g10_c04.avi,Swing
v_Swing_g01_c04,/train/Swing/v_Swing_g01_c04.avi,Swing
v_Swing_g10_c01,/train/Swing/v_Swing_g10_c01.avi,Swing
v_Swing_g04_c02,/train/Swing/v_Swing_g04_c02.avi,Swing
v_Swing_g15_c01,/train/Swing/v_Swing_g15_c01.avi,Swing
v_Swing_g13_c02,/train/Swing/v_Swing_g13_c02.avi,Swing
v_Swing_g22_c02,/train/Swing/v_Swing_g22_c02.avi,Swing
v_Swing_g05_c04,/train/Swing/v_Swing_g05_c04.avi,Swing
v_Swing_g19_c02,/train/Swing/v_Swing_g19_c02.avi,Swing
v_Swing_g05_c01,/train/Swing/v_Swing_g05_c01.avi,Swing
v_Swing_g24_c02,/train/Swing/v_Swing_g24_c02.avi,Swing
v_Swing_g02_c03,/train/Swing/v_Swing_g02_c03.avi,Swing
v_Swing_g16_c04,/train/Swing/v_Swing_g16_c04.avi,Swing
v_Swing_g20_c02,/train/Swing/v_Swing_g20_c02.avi,Swing
v_Swing_g22_c01,/train/Swing/v_Swing_g22_c01.avi,Swing
v_Swing_g16_c03,/train/Swing/v_Swing_g16_c03.avi,Swing
v_Swing_g07_c03,/train/Swing/v_Swing_g07_c03.avi,Swing
v_Swing_g17_c04,/train/Swing/v_Swing_g17_c04.avi,Swing
v_Swing_g23_c05,/train/Swing/v_Swing_g23_c05.avi,Swing
v_Swing_g18_c03,/train/Swing/v_Swing_g18_c03.avi,Swing
v_Swing_g07_c05,/train/Swing/v_Swing_g07_c05.avi,Swing
v_Swing_g11_c02,/train/Swing/v_Swing_g11_c02.avi,Swing
v_Swing_g02_c04,/train/Swing/v_Swing_g02_c04.avi,Swing
v_Swing_g15_c06,/train/Swing/v_Swing_g15_c06.avi,Swing
v_Swing_g08_c01,/train/Swing/v_Swing_g08_c01.avi,Swing
v_Swing_g09_c03,/train/Swing/v_Swing_g09_c03.avi,Swing
v_Swing_g22_c04,/train/Swing/v_Swing_g22_c04.avi,Swing
v_Swing_g06_c03,/train/Swing/v_Swing_g06_c03.avi,Swing
v_Swing_g17_c02,/train/Swing/v_Swing_g17_c02.avi,Swing
v_Swing_g04_c06,/train/Swing/v_Swing_g04_c06.avi,Swing
v_Swing_g07_c02,/train/Swing/v_Swing_g07_c02.avi,Swing
v_Swing_g09_c01,/train/Swing/v_Swing_g09_c01.avi,Swing
v_Swing_g04_c07,/train/Swing/v_Swing_g04_c07.avi,Swing
v_Swing_g17_c03,/train/Swing/v_Swing_g17_c03.avi,Swing
v_Swing_g06_c04,/train/Swing/v_Swing_g06_c04.avi,Swing
v_Swing_g13_c01,/train/Swing/v_Swing_g13_c01.avi,Swing
v_Swing_g06_c06,/train/Swing/v_Swing_g06_c06.avi,Swing
v_Swing_g16_c01,/train/Swing/v_Swing_g16_c01.avi,Swing
v_Swing_g16_c02,/train/Swing/v_Swing_g16_c02.avi,Swing
v_Swing_g03_c04,/train/Swing/v_Swing_g03_c04.avi,Swing
v_Swing_g06_c05,/train/Swing/v_Swing_g06_c05.avi,Swing
v_Swing_g10_c03,/train/Swing/v_Swing_g10_c03.avi,Swing
v_Swing_g08_c04,/train/Swing/v_Swing_g08_c04.avi,Swing
v_Swing_g23_c03,/train/Swing/v_Swing_g23_c03.avi,Swing
v_Swing_g13_c03,/train/Swing/v_Swing_g13_c03.avi,Swing
v_Swing_g15_c03,/train/Swing/v_Swing_g15_c03.avi,Swing
v_Swing_g13_c04,/train/Swing/v_Swing_g13_c04.avi,Swing
v_Swing_g11_c05,/train/Swing/v_Swing_g11_c05.avi,Swing
v_Swing_g11_c01,/train/Swing/v_Swing_g11_c01.avi,Swing
v_Swing_g09_c05,/train/Swing/v_Swing_g09_c05.avi,Swing
v_Swing_g07_c04,/train/Swing/v_Swing_g07_c04.avi,Swing
v_Swing_g15_c05,/train/Swing/v_Swing_g15_c05.avi,Swing
v_Swing_g01_c03,/train/Swing/v_Swing_g01_c03.avi,Swing
v_Swing_g05_c07,/train/Swing/v_Swing_g05_c07.avi,Swing
v_Swing_g10_c02,/train/Swing/v_Swing_g10_c02.avi,Swing
v_Swing_g12_c02,/train/Swing/v_Swing_g12_c02.avi,Swing
v_Swing_g15_c04,/train/Swing/v_Swing_g15_c04.avi,Swing
v_Swing_g18_c04,/train/Swing/v_Swing_g18_c04.avi,Swing
v_Swing_g14_c05,/train/Swing/v_Swing_g14_c05.avi,Swing
v_Swing_g24_c03,/train/Swing/v_Swing_g24_c03.avi,Swing
v_Swing_g15_c07,/train/Swing/v_Swing_g15_c07.avi,Swing
v_Swing_g21_c05,/train/Swing/v_Swing_g21_c05.avi,Swing
v_Swing_g09_c06,/train/Swing/v_Swing_g09_c06.avi,Swing
v_Swing_g05_c03,/train/Swing/v_Swing_g05_c03.avi,Swing
v_Swing_g05_c06,/train/Swing/v_Swing_g05_c06.avi,Swing
v_Swing_g25_c04,/train/Swing/v_Swing_g25_c04.avi,Swing
v_Swing_g14_c01,/train/Swing/v_Swing_g14_c01.avi,Swing
v_Swing_g02_c01,/train/Swing/v_Swing_g02_c01.avi,Swing
v_Swing_g18_c01,/train/Swing/v_Swing_g18_c01.avi,Swing
v_Swing_g07_c06,/train/Swing/v_Swing_g07_c06.avi,Swing
v_Swing_g03_c03,/train/Swing/v_Swing_g03_c03.avi,Swing
v_Swing_g07_c07,/train/Swing/v_Swing_g07_c07.avi,Swing
v_Swing_g19_c04,/train/Swing/v_Swing_g19_c04.avi,Swing
v_Swing_g06_c02,/train/Swing/v_Swing_g06_c02.avi,Swing
v_Swing_g11_c03,/train/Swing/v_Swing_g11_c03.avi,Swing
v_Swing_g01_c05,/train/Swing/v_Swing_g01_c05.avi,Swing
v_Swing_g24_c01,/train/Swing/v_Swing_g24_c01.avi,Swing
v_Swing_g14_c03,/train/Swing/v_Swing_g14_c03.avi,Swing
v_Swing_g24_c05,/train/Swing/v_Swing_g24_c05.avi,Swing
v_Swing_g22_c03,/train/Swing/v_Swing_g22_c03.avi,Swing
v_Swing_g17_c01,/train/Swing/v_Swing_g17_c01.avi,Swing
v_FrisbeeCatch_g07_c04,/train/FrisbeeCatch/v_FrisbeeCatch_g07_c04.avi,FrisbeeCatch
v_FrisbeeCatch_g17_c04,/train/FrisbeeCatch/v_FrisbeeCatch_g17_c04.avi,FrisbeeCatch
v_FrisbeeCatch_g03_c05,/train/FrisbeeCatch/v_FrisbeeCatch_g03_c05.avi,FrisbeeCatch
v_FrisbeeCatch_g08_c04,/train/FrisbeeCatch/v_FrisbeeCatch_g08_c04.avi,FrisbeeCatch
v_FrisbeeCatch_g10_c06,/train/FrisbeeCatch/v_FrisbeeCatch_g10_c06.avi,FrisbeeCatch
v_FrisbeeCatch_g09_c05,/train/FrisbeeCatch/v_FrisbeeCatch_g09_c05.avi,FrisbeeCatch
v_FrisbeeCatch_g11_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g11_c01.avi,FrisbeeCatch
v_FrisbeeCatch_g08_c02,/train/FrisbeeCatch/v_FrisbeeCatch_g08_c02.avi,FrisbeeCatch
v_FrisbeeCatch_g22_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g22_c01.avi,FrisbeeCatch
v_FrisbeeCatch_g07_c06,/train/FrisbeeCatch/v_FrisbeeCatch_g07_c06.avi,FrisbeeCatch
v_FrisbeeCatch_g04_c02,/train/FrisbeeCatch/v_FrisbeeCatch_g04_c02.avi,FrisbeeCatch
v_FrisbeeCatch_g04_c05,/train/FrisbeeCatch/v_FrisbeeCatch_g04_c05.avi,FrisbeeCatch
v_FrisbeeCatch_g05_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g05_c01.avi,FrisbeeCatch
v_FrisbeeCatch_g17_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g17_c01.avi,FrisbeeCatch
v_FrisbeeCatch_g18_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g18_c01.avi,FrisbeeCatch
v_FrisbeeCatch_g07_c01,/train/FrisbeeCatch/v_FrisbeeCatch_g07_c01.avi,FrisbeeCatch
