clip_name,clip_path,label
v_TennisSwing_g04_c03,/train/TennisSwing/v_TennisSwing_g04_c03.avi,TennisSwing
v_TennisSwing_g16_c05,/train/TennisSwing/v_TennisSwing_g16_c05.avi,TennisSwing
v_TennisSwing_g10_c05,/train/TennisSwing/v_TennisSwing_g10_c05.avi,TennisSwing
v_TennisSwing_g09_c03,/train/TennisSwing/v_TennisSwing_g09_c03.avi,TennisSwing
v_TennisSwing_g11_c04,/train/TennisSwing/v_TennisSwing_g11_c04.avi,TennisSwing
v_TennisSwing_g12_c06,/train/TennisSwing/v_TennisSwing_g12_c06.avi,TennisSwing
v_TennisSwing_g17_c03,/train/TennisSwing/v_TennisSwing_g17_c03.avi,TennisSwing
v_TennisSwing_g13_c07,/train/TennisSwing/v_TennisSwing_g13_c07.avi,TennisSwing
v_TennisSwing_g19_c01,/train/TennisSwing/v_TennisSwing_g19_c01.avi,TennisSwing
v_TennisSwing_g02_c06,/train/TennisSwing/v_TennisSwing_g02_c06.avi,TennisSwing
v_TennisSwing_g11_c06,/train/TennisSwing/v_TennisSwing_g11_c06.avi,TennisSwing
v_TennisSwing_g01_c04,/train/TennisSwing/v_TennisSwing_g01_c04.avi,TennisSwing
v_TennisSwing_g17_c07,/train/TennisSwing/v_TennisSwing_g17_c07.avi,TennisSwing
v_TennisSwing_g11_c01,/train/TennisSwing/v_TennisSwing_g11_c01.avi,TennisSwing
v_TennisSwing_g17_c02,/train/TennisSwing/v_TennisSwing_g17_c02.avi,TennisSwing
v_TennisSwing_g06_c01,/train/TennisSwing/v_TennisSwing_g06_c01.avi,TennisSwing
v_TennisSwing_g19_c06,/train/TennisSwing/v_TennisSwing_g19_c06.avi,TennisSwing
v_TennisSwing_g04_c07,/train/TennisSwing/v_TennisSwing_g04_c07.avi,TennisSwing
v_TennisSwing_g21_c05,/train/TennisSwing/v_TennisSwing_g21_c05.avi,TennisSwing
v_TennisSwing_g25_c04,/train/TennisSwing/v_TennisSwing_g25_c04.avi,TennisSwing
v_TennisSwing_g10_c02,/train/TennisSwing/v_TennisSwing_g10_c02.avi,TennisSwing
v_TennisSwing_g12_c05,/train/TennisSwing/v_TennisSwing_g12_c05.avi,TennisSwing
v_TennisSwing_g19_c04,/train/TennisSwing/v_TennisSwing_g19_c04.avi,TennisSwing
v_TennisSwing_g19_c02,/train/TennisSwing/v_TennisSwing_g19_c02.avi,TennisSwing
v_TennisSwing_g09_c06,/train/TennisSwing/v_TennisSwing_g09_c06.avi,TennisSwing
v_TennisSwing_g23_c05,/train/TennisSwing/v_TennisSwing_g23_c05.avi,TennisSwing
v_TennisSwing_g15_c03,/train/TennisSwing/v_TennisSwing_g15_c03.avi,TennisSwing
v_TennisSwing_g10_c04,/train/TennisSwing/v_TennisSwing_g10_c04.avi,TennisSwing
v_TennisSwing_g09_c01,/train/TennisSwing/v_TennisSwing_g09_c01.avi,TennisSwing
v_TennisSwing_g07_c07,/train/TennisSwing/v_TennisSwing_g07_c07.avi,TennisSwing
v_TennisSwing_g08_c04,/train/TennisSwing/v_TennisSwing_g08_c04.avi,TennisSwing
v_TennisSwing_g18_c01,/train/TennisSwing/v_TennisSwing_g18_c01.avi,TennisSwing
v_TennisSwing_g22_c02,/train/TennisSwing/v_TennisSwing_g22_c02.avi,TennisSwing
v_TennisSwing_g18_c02,/train/TennisSwing/v_TennisSwing_g18_c02.avi,TennisSwing
v_TennisSwing_g20_c02,/train/TennisSwing/v_TennisSwing_g20_c02.avi,TennisSwing
v_TennisSwing_g16_c02,/train/TennisSwing/v_TennisSwing_g16_c02.avi,TennisSwing
v_TennisSwing_g14_c04,/train/TennisSwing/v_TennisSwing_g14_c04.avi,TennisSwing
v_TennisSwing_g02_c02,/train/TennisSwing/v_TennisSwing_g02_c02.avi,TennisSwing
v_TennisSwing_g21_c02,/train/TennisSwing/v_TennisSwing_g21_c02.avi,TennisSwing
v_TennisSwing_g07_c01,/train/TennisSwing/v_TennisSwing_g07_c01.avi,TennisSwing
v_TennisSwing_g07_c02,/train/TennisSwing/v_TennisSwing_g07_c02.avi,TennisSwing
v_TennisSwing_g01_c01,/train/TennisSwing/v_TennisSwing_g01_c01.avi,TennisSwing
v_TennisSwing_g20_c04,/train/TennisSwing/v_TennisSwing_g20_c04.avi,TennisSwing
v_TennisSwing_g14_c01,/train/TennisSwing/v_TennisSwing_g14_c01.avi,TennisSwing
v_TennisSwing_g13_c05,/train/TennisSwing/v_TennisSwing_g13_c05.avi,TennisSwing
v_TennisSwing_g06_c02,/train/TennisSwing/v_TennisSwing_g06_c02.avi,TennisSwing
v_TennisSwing_g22_c06,/train/TennisSwing/v_TennisSwing_g22_c06.avi,TennisSwing
v_TennisSwing_g15_c07,/train/TennisSwing/v_TennisSwing_g15_c07.avi,TennisSwing
v_TennisSwing_g07_c06,/train/TennisSwing/v_TennisSwing_g07_c06.avi,TennisSwing
v_TennisSwing_g18_c03,/train/TennisSwing/v_TennisSwing_g18_c03.avi,TennisSwing
v_TennisSwing_g19_c05,/train/TennisSwing/v_TennisSwing_g19_c05.avi,TennisSwing
v_TennisSwing_g10_c06,/train/TennisSwing/v_TennisSwing_g10_c06.avi,TennisSwing
v_TennisSwing_g12_c07,/train/TennisSwing/v_TennisSwing_g12_c07.avi,TennisSwing
v_TennisSwing_g11_c02,/train/TennisSwing/v_TennisSwing_g11_c02.avi,TennisSwing
v_TennisSwing_g24_c03,/train/TennisSwing/v_TennisSwing_g24_c03.avi,TennisSwing
v_TennisSwing_g24_c05,/train/TennisSwing/v_TennisSwing_g24_c05.avi,TennisSwing
v_TennisSwing_g02_c04,/train/TennisSwing/v_TennisSwing_g02_c04.avi,TennisSwing
